0,NUL,N,0
0,SOH,N,1
0,STX,N,2
0,ETX,N,3
0,EOT,N,4
0,ENQ,N,5
0,ACK,N,6
0,BEL,N,7
0,BS,N,8
0,HT,N,9
0,LF,N,10
0,VT,N,11
0,FF,N,12
0,CR,N,13
0,SO,N,14
0,SI,N,15
0,DLE,N,16
0,DC1,N,17
0,DC2,N,18
0,DC2,N,19
0,DC4,N,20
0,NAK,N,21
0,SYN,N,22
0,ETB,N,23
0,CAN,N,24
0,EM,N,25
0,SUB,N,26
0,ESC,N,27
0,FS,N,28
0,GS,N,29
0,RS,N,30
0,US,N,31
0,\s,0,32
0,!,N,33
0,“,N,34
0,#,N,35
0,$,N,36
0,%,N,37
0,&,N,38
0,',N,39
0,(,N,40
0,),N,41
0,*,N,42
0,Plus sign,2,43
0,COMMA,N,44
0,minus sign,2,45
0,.,3,46
0,/,N,47
0,0,1,48
0,1,1,49
0,2,1,50
0,3,1,51
0,4,1,52
0,5,1,53
0,6,1,54
0,7,1,55
0,8,1,56
0,9,1,57
0,:,N,58
0,;,N,59
0,<,N,60
0,equality,N,61
0,>,N,62
0,?,N,63
0,@,N,64
0,A,N,65
0,B,N,66
0,C,N,67
0,D,N,68
0,E,N,69
0,F,N,70
0,G,N,71
0,H,N,72
0,I,N,73
0,J,N,74
0,K,N,75
0,L,N,76
0,M,N,77
0,N,N,78
0,O,N,79
0,P,N,80
0,Q,N,81
0,R,N,82
0,S,N,83
0,T,N,84
0,U,N,85
0,V,N,86
0,W,N,87
0,X,N,88
0,Y,N,89
0,Z,N,90
0,[,N,91
0,\,N,92
0,],N,93
0,^,N,94
0,_,N,95
0,`,N,96
0,a,N,97
0,b,N,98
0,c,N,99
0,d,N,100
0,e,N,101
0,f,N,102
0,g,N,103
0,h,N,104
0,I,N,105
0,j,N,106
0,k,N,107
0,l,N,108
0,m,N,109
0,n,N,110
0,o,N,111
0,p,N,112
0,q,N,113
0,r,N,114
0,s,N,115
0,t,N,116
0,u,N,117
0,v,N,118
0,w,N,119
0,x,N,120
0,y,N,121
0,z,N,122
0,{,N,123
0,|,N,124
0,},N,125
0,~,N,126
0,DEL,N,127
1,NUL,N,0
1,SOH,N,1
1,STX,N,2
1,ETX,N,3
1,EOT,N,4
1,ENQ,N,5
1,ACK,N,6
1,BEL,N,7
1,BS,N,8
1,HT,N,9
1,LF,N,10
1,VT,N,11
1,FF,N,12
1,CR,N,13
1,SO,N,14
1,SI,N,15
1,DLE,N,16
1,DC1,N,17
1,DC2,N,18
1,DC2,N,19
1,DC4,N,20
1,NAK,N,21
1,SYN,N,22
1,ETB,N,23
1,CAN,N,24
1,EM,N,25
1,SUB,N,26
1,ESC,N,27
1,FS,N,28
1,GS,N,29
1,RS,N,30
1,US,N,31
1,\s,N,32
1,!,N,33
1,“,N,34
1,#,N,35
1,$,N,36
1,%,N,37
1,&,N,38
1,',N,39
1,(,N,40
1,),N,41
1,*,N,42
1,Plus sign,N,43
1,COMMA,N,44
1,minus sign,N,45
1,.,4,46
1,/,N,47
1,0,1,48
1,1,1,49
1,2,1,50
1,3,1,51
1,4,1,52
1,5,1,53
1,6,1,54
1,7,1,55
1,8,1,56
1,9,1,57
1,:,N,58
1,;,N,59
1,<,N,60
1,equality,N,61
1,>,N,62
1,?,N,63
1,@,N,64
1,A,N,65
1,B,N,66
1,C,N,67
1,D,N,68
1,E,6,69
1,F,N,70
1,G,N,71
1,H,N,72
1,I,N,73
1,J,N,74
1,K,N,75
1,L,N,76
1,M,N,77
1,N,N,78
1,O,N,79
1,P,N,80
1,Q,N,81
1,R,N,82
1,S,N,83
1,T,N,84
1,U,N,85
1,V,N,86
1,W,N,87
1,X,N,88
1,Y,N,89
1,Z,N,90
1,[,N,91
1,\,N,92
1,],N,93
1,^,N,94
1,_,N,95
1,`,N,96
1,a,N,97
1,b,N,98
1,c,N,99
1,d,N,100
1,e,6,101
1,f,N,102
1,g,N,103
1,h,N,104
1,I,N,105
1,j,N,106
1,k,N,107
1,l,N,108
1,m,N,109
1,n,N,110
1,o,N,111
1,p,N,112
1,q,N,113
1,r,N,114
1,s,N,115
1,t,N,116
1,u,N,117
1,v,N,118
1,w,N,119
1,x,N,120
1,y,N,121
1,z,N,122
1,{,N,123
1,|,N,124
1,},N,125
1,~,N,126
1,DEL,N,127
2,NUL,N,0
2,SOH,N,1
2,STX,N,2
2,ETX,N,3
2,EOT,N,4
2,ENQ,N,5
2,ACK,N,6
2,BEL,N,7
2,BS,N,8
2,HT,N,9
2,LF,N,10
2,VT,N,11
2,FF,N,12
2,CR,N,13
2,SO,N,14
2,SI,N,15
2,DLE,N,16
2,DC1,N,17
2,DC2,N,18
2,DC2,N,19
2,DC4,N,20
2,NAK,N,21
2,SYN,N,22
2,ETB,N,23
2,CAN,N,24
2,EM,N,25
2,SUB,N,26
2,ESC,N,27
2,FS,N,28
2,GS,N,29
2,RS,N,30
2,US,N,31
2,\s,N,32
2,!,N,33
2,“,N,34
2,#,N,35
2,$,N,36
2,%,N,37
2,&,N,38
2,',N,39
2,(,N,40
2,),N,41
2,*,N,42
2,Plus sign,N,43
2,COMMA,N,44
2,minus sign,N,45
2,.,3,46
2,/,N,47
2,0,1,48
2,1,1,49
2,2,1,50
2,3,1,51
2,4,1,52
2,5,1,53
2,6,1,54
2,7,1,55
2,8,1,56
2,9,1,57
2,:,N,58
2,;,N,59
2,<,N,60
2,equality,N,61
2,>,N,62
2,?,N,63
2,@,N,64
2,A,N,65
2,B,N,66
2,C,N,67
2,D,N,68
2,E,N,69
